"Leifstod        Airport,  KEF",  "Iceland"
"Schönefeld      Airport,  BER",  "Germany"
"Stuttgart       Airport, STR",  "Germany",
"Comiso          Airport, CIY",  "Italy",
"Florence        Airport, FLR",  "Italy",
"Genoa           Airport, GOA",  "Italy",
"Munich          Airport, MUC",  "Germany",
"Strasbourg      Airport, SXB",  "France",
"Toulon-Hyères   Airport, TLN",  "France",
"Bremen          Airport, BRE",  "Germany",
"Nuremberg       Airport, NUE",  "Germany",
"Kerry           Airport, KIR",  "Ireland",
"Shannon         Airport, SNN",  "Ireland",
"Alghero         Airport, AHO",  "Italy",
"Ancona          Airport, AOI",  "Italy",
"Bari            Airport, BRI",  "Italy",
"Bergamo         Airport, BGY",  "Italy",
"Bologna         Airport, BLQ",  "Italy",
"Brindisi        Airport, BDS",  "Italy",
"Cagliari        Airport, CAG",  "Italy",
"Kutaisi         Airport, KUT",  "Georgia",
"Tbilisi         Airport, TBS",  "Georgia",
"Allgäu          Airport, FMM",  "Memmingen",
"Palermo         Airport, PMO",  "Italy",
"Perugia         Airport, PEG",  "Italy",
"Pescara         Airport, PSR",  "Italy",
"Pisa            Airport, PSA",  "Italy",
"Dortmund        Airport, DTM",  "Germany",
"Dresden         Airport, DRS",  "Germany",
"Düsseldorf      Airport, DUS",  "Germany",
"Frankfurt       Airport, FRA",  "Germany",
"Frankfurt-Hahn  Airport, HHN",  "Germany",
"Friedrichshafen Airport, FDH",  "Germany",
"Hamburg         Airport, HAM",  "Germany",
"Hanover         Airport, HAJ",  "Germany",
"Weeze           Airport, NRN",  "Germany",
"Athens          Airport, ATH",  "Greece",
"Chania          Airport, CHQ",  "Greece",
"Corfu           Airport, CFU",  "Greece",
"Heraklion       Airport, HER",  "Greece",
"Kos             Airport, KGS",  "Greece",
"Mykonos         Airport, JMK",  "Greece",
"Rhodes          Airport, RHO",  "Greece",
"Santorini       Airport, JTR",  "Greece",
"Thessaloniki    Airport, SKG",  "Greece",
"Zante           Airport, ZTH",  "Greece",
"Budapest        Airport, BUD",  "Hungary",
"Debrecen        Airport, DEB",  "Hungary",
"Keflavik        Airport, KEF",  "Iceland",
"Cork            Airport, ORK",  "Ireland",
"Dublin          Airport, DUB",  "Ireland",
"Tirana          Airport, TIA",  "Albania",
"Graz            Airport, GRZ",  "Austria",
"Innsbruck       Airport, INN",  "Austria",
"Klagenfurt      Airport, KLU",  "Austria",
"Linz            Airport, LNZ",  "Austria",
"Salzburg        Airport, SZG",  "Austria",
"Vienna          Airport, VIE",  "Austria",
"Baku            Airport, GYD",  "Azerbaijan",
"Minsk           Airport, MSQ",  "Belarus",
"Antwerp         Airport, ANR",  "Belgium",
"Brussels        Airport, BRU",  "Belgium",
"Charleroi       Airport, CRL",  "Belgium",
"Liege           Airport, LGG",  "Belgium",
"Ostend-Bruges   Airport, BOS",  "Belgium",
"Sarajevo        Airport, SJJ",  "Bosnia-Herzegovina",
"Tuzla           Airport, TZL",  "Bosnia-Herzegovina",
"Burgas          Airport, BOJ",  "Bulgaria",
"Sofia           Airport, SOF",  "Bulgaria",
"Varna           Airport, VAR",  "Bulgaria",
"Dubrovnik       Airport, DBV",  "Croatia",
"Pula            Airport, PUY",  "Croatia",
"Split           Airport, SPU",  "Croatia",
"Zadar           Airport, ZAD",  "Croatia",
"Zagreb          Airport, ZAG",  "Croatia",
"Larnaca         Airport, LCA",  "Cyprus",
"Paphos          Airport, PFO",  "Cyprus",
"Brno            Airport, BRQ",  "Czech-Republic",
"Prague          Airport, PRG",  Czech-Republic",
"Aalborg         Airport, AAL",  "Denmark",
"Aarhus          Airport, AAR",  "Denmark",
"Billund         Airport, BLL",  "Denmark",
"Copenhagen      Airport, CPH",  "Denmark",
"Vágar           Airport, FAE",  "Denmark",
"Tallinn         Airport, TLL",  "Estonia",
"Helsinki        Airport, HEL",  "Finland",
"Oulu            Airport, OUL",  "Finland",
"Rovaniemi       Airport, RVN",  "Finland",
"Tampere         Airport, TMP",  "Finland",
"Turku           Airport, TKU",  "Finland",
"Vaasa           Airport, VAA",  "Finland",
"Ajaccio         Airport, AJA",  "France",
"Bastia          Airport, BIA",  "France",
"Bergerac        Airport, EGC",  "France",
"Biarritz        Airport, BIQ",  "France",
"Bordeaux        Airport, BOD",  "France",
"Brest-"Bretagne Airport, BES",  "France",
"Lille           Airport, LIL",  "France",
"Marseille       Airport, MRS",  "France",
"Montpellier     Airport, MPL",  "France",
"Nantes          Airport, NTE",  "France",
"Nice            Airport, NCE",  "France",
"JohnFKennedy    Airport,   NY",      "USA",
